jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
-0.006344819,0.104106002,0.011672335,0.010318627,-0.035686642,-0.092310266,-0.009715752,0.113257677,0.007594749,0.120136235,0.023995817,-0.072740234
-0.012761217,0.103974357,0.063462022,-0.026019262,-0.075509845,-0.085160087,-0.009910072,0.127893788,0.006685568,0.129867334,0.009623436,-0.079152482
-0.01284331,0.09676117,0.073494817,-0.032311812,-0.110663162,-0.057866135,-0.009671092,0.122341957,-0.017534667,0.13382046,0.008172131,-0.07058369
-0.0065226,0.073320383,0.050776632,-0.030586079,-0.088428802,-0.069062255,-0.009244051,0.106531491,-0.020047648,0.117892859,-0.004151104,-0.04417412
-0.012318062,0.07418954,0.034530231,-0.023708627,-0.098068641,-0.052339435,-0.006070106,0.105732816,0.016140301,0.116929511,-0.002809116,-0.062901793
-0.018498088,0.067496247,0.0214029,-0.023292171,-0.105294902,-0.050137286,-0.007591404,0.119468597,0.006079697,0.107420589,-0.010332214,-0.061647293
-0.019034474,0.06856658,-0.009899787,0.012491398,-0.036873264,-0.141454103,-0.011860313,0.136123162,0.014901422,0.076043488,-0.025008514,-0.084254773
-0.028157875,0.076280031,0.006186058,-0.019449666,-0.021193019,-0.150664855,-0.01358711,0.125980818,0.043470556,0.172318722,-0.024591334,-0.085326827
-0.029122376,0.07745483,0.001433696,-0.024164399,-0.088609706,-0.08804276,-0.013105995,0.145798573,0.040195296,0.199282234,-0.012170479,-0.087336383
-0.030112724,0.09854716,0.017955626,-0.035351652,-0.107839198,-0.041685336,-0.014895462,0.15056922,0.033387495,0.170675356,-0.009761934,-0.082191879
-0.034541757,0.086112447,0.006376039,-0.051157888,-0.099389267,-0.039250538,-0.010932133,0.135602448,0.007301453,0.182895579,-0.015893579,-0.079430311
-0.054552313,0.076734451,0.018840561,-0.057343716,-0.115839338,-0.035106991,-0.009897137,0.109394605,-0.010285718,0.179363584,-0.019477659,-0.053910392
-0.059945557,0.096639017,0.020604056,-0.045422891,-0.101712106,-0.027583376,-0.018333859,0.097931385,-0.017683715,0.154169898,-0.035683788,-0.06787776
-0.072259444,0.115775231,0.006783403,-0.047849281,-0.071007861,-0.045765817,-0.026014672,0.104045461,-0.015125634,0.151684316,-0.015631333,-0.089017828
