jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
-2.004274392,-0.901298085,0.297398815,0.479584017,0.682863915,-1.201403065,-1.92937901,-1.744048897,-0.157777855,-0.279946772,-0.817321924,-1.015040843
-1.904593682,-1.006984069,1.004735003,1.009813971,1.230050633,-1.104488501,-1.894885169,-1.669899357,0.093003412,-0.062439571,-0.594147063,-0.59460573
-1.869631008,-1.231902374,1.041169135,1.020901475,1.386090835,-1.031185456,-1.894374437,-1.668302174,-0.340876751,0.023595946,-0.42456452,-0.337622166
-1.73201225,-1.480604159,0.580709884,0.4675601,1.233241124,-1.040695934,-1.778605335,-1.529974033,-0.445779377,-0.090338722,-0.514083768,-0.132260833
-1.923071998,-1.685364965,0.300124915,0.188272549,0.911431141,-1.246621369,-1.84696269,-1.581391242,0.035239883,-0.182613479,-0.57764756,-0.363714061
-2.029169803,-1.845089568,0.107993298,-0.064498252,0.971852808,-1.25433512,-2.022959206,-1.445985659,0.198301557,-0.274154169,-0.426121112,-0.227054096
-2.051902232,-1.739157147,-0.336813612,-0.236415772,1.343708041,-1.294329196,-2.159080882,-1.348514674,0.64460776,-0.657753449,-0.21564547,-0.299859894
-1.99260827,-1.405451664,0.215366738,0.012901032,1.389416188,-1.167258894,-2.157088423,-1.627608111,0.66220085,0.897756547,0.028534848,-0.157149732
-1.879421678,-0.814624325,0.45469494,0.171890629,1.157592176,-1.403585108,-2.190181556,-1.63572648,0.862584409,1.301766716,0.41840298,0.05503464
-1.816313947,-0.717711969,0.586497705,0.252056009,0.835801553,-1.299227258,-2.111674826,-1.708209641,0.750002655,1.068339539,0.323383695,-0.149503916
-1.780707224,-0.955857337,0.375350433,-0.206664026,0.530737571,-1.449470231,-2.144529694,-1.755283333,0.117070289,1.016888844,0.122407411,-0.167587559
-1.509727125,-1.213662516,0.573465219,-0.020456572,0.998219664,-1.150135934,-1.786042758,-1.51103127,-0.243187177,0.842576351,0.094711687,0.056224619
-1.58546298,-1.270705501,0.54365907,0.101604657,0.811011265,-1.026708865,-1.686834441,-1.344481719,-0.336629433,0.376821422,0.088789758,0.294534095
-1.512233514,-1.112144625,0.466992645,-0.073281711,0.660362575,-1.02023474,-1.728484678,-1.39188581,-0.266179322,0.232585233,0.243852413,0.248394407
-1.411197996,-0.991251287,1.016444013,0.40241456,1.001303392,-0.950925674,-1.624157643,-1.373020142,-0.065009254,0.484408839,0.607765442,0.530085265
-1.311194838,-1.002964387,0.914940506,0.378258454,1.050432384,-0.963173868,-1.554777212,-1.352712166,0.027197174,0.430872169,0.513227966,0.455013034
-1.167695934,-0.996656792,1.066945964,0.521799419,1.118662765,-0.891713751,-1.591899196,-1.460502334,0.049506694,0.459750394,0.639533805,0.630555079
-1.027259592,-0.744781485,0.997639546,0.426256687,1.051671862,-0.860729707,-1.650667166,-1.634530331,-0.194822607,0.581671378,0.520186305,0.714127034
-0.638331858,-0.576434939,0.737861174,0.349847062,0.69468536,-0.888382109,-1.718605092,-1.834860373,-0.384013346,0.656662389,0.81654031,1.060630387
-0.596063844,-0.583721042,0.346174206,0.021419776,0.169017508,-1.160853748,-1.791320311,-1.982489393,-0.571719554,0.533018043,0.617315926,0.827219093
-0.589674307,-0.634711485,0.523998008,0.119214428,-0.079090932,-1.434591823,-2.049560826,-2.127871996,-0.602532357,0.544104168,0.732853843,0.87912676
-0.772819944,-0.731069377,0.859442662,0.487650783,0.129960891,-1.526224428,-2.121034748,-2.160042636,-0.503600527,0.388944525,0.810476642,1.029927608
-0.818549514,-0.68681444,1.095750149,0.854878691,0.457745932,-1.287904256,-2.284844703,-2.08557277,-0.177981292,0.635546764,1.246997238,1.069556099
-0.953386537,-0.748082376,1.288768017,0.884657794,0.428080409,-1.514646457,-2.158588553,-2.130778952,-0.124028395,0.611588502,1.303187889,0.689682626
-0.772791984,-0.514150328,1.898981529,1.083836211,0.529146491,-1.393681673,-2.151336143,-2.112217893,0.01570243,0.838380544,1.215241608,0.490460071
-0.834338197,-0.460206466,2.387157145,1.363287787,0.438336958,-1.943604704,-2.409785536,-2.123568211,-0.301114663,0.633271429,1.231111659,0.374850147
-0.943538875,-0.402324146,2.231488719,1.259516503,0.791041916,-1.696112432,-2.207442246,-1.910352831,-0.211872789,0.421544568,0.959360462,0.573007358
-0.965916277,-0.207310018,2.164016814,1.368351535,1.275904788,-1.559906274,-2.066185299,-1.913978197,-0.376813665,0.297203421,1.138677565,1.126277263
-1.03523536,-0.329845425,1.414943003,0.543132173,1.341253575,-1.482171491,-2.018492288,-1.682761712,-0.427574869,0.318025893,0.460070047,1.049683059
-1.207121353,-0.354258807,1.755844207,0.837913532,1.843839027,-1.17214425,-1.943894374,-1.233484875,-0.698233492,0.044257688,0.01555275,1.164541902
-1.12801947,-0.02733858,2.061658264,1.342593494,2.157411119,-0.770830446,-1.748806326,-1.173889417,-0.842536654,-0.09449796,0.218086286,1.309695681
-1.088361071,-0.249218115,1.636755661,0.944319274,1.820009364,-1.10193929,-1.847331963,-1.014236595,-0.515764846,0.164890644,0.197660685,0.919418326
-1.041461101,-0.533748193,2.629622395,2.41676618,2.278645942,-0.73319132,-1.680771325,-1.326058609,-0.749307497,-0.420726687,0.334783666,1.387825053
-1.227878836,-0.824001005,2.497920549,2.497838942,2.149244295,-0.697999766,-1.679501233,-1.342509958,-0.776235235,-0.100306496,0.525067762,0.972847537
-1.508543678,-0.810817123,2.526639362,2.328278243,1.6740794,-1.06972587,-1.899018276,-1.394643953,-0.708441443,0.171555504,0.559549892,0.84629178
-1.499878841,-0.908527209,2.362680518,2.035804384,1.662808566,-1.241255411,-2.068590178,-1.836850364,-0.693835659,0.241268568,0.218163497,0.360914435
-1.519215718,-1.045044792,1.941509131,1.57281161,1.604751897,-1.130793532,-2.109855213,-1.991628237,-0.458993724,0.362207375,0.323417676,0.612214945
-1.321958739,-0.953233,2.139412701,1.971003224,1.590146012,-0.913743074,-1.939907663,-1.952944251,-0.353238805,0.23953772,0.385375262,1.29848002
-1.47797248,-0.932460603,2.487186611,2.027978841,1.219239408,-1.130057123,-2.050212559,-1.801130586,0.092077197,0.405693403,-0.057197884,1.184273853
-1.356324386,-1.122811914,2.382145052,2.11093835,0.906527075,-1.072479148,-1.878235671,-1.830944418,-0.571910163,-0.01614718,-0.164177603,1.39873852
-1.955725133,-0.765547943,0.684062841,0.455508955,0.616552666,-1.293091366,-1.899571794,-1.601107523,-0.138495135,-0.180932607,-0.703744452,-1.167824858
-2.032359505,-0.736577759,1.144325776,0.889519503,1.095302333,-1.179592497,-1.954260657,-1.7093788,-0.189952875,-0.095253066,-0.512606389,-0.823695036
-2.066163723,-1.199483898,0.413412958,-0.034066746,0.049845579,-1.455079358,-2.049459859,-1.742269259,-0.686634992,-0.511109178,-0.848485563,-1.148937715
-1.984600983,-1.322555593,0.39070045,0.188261773,0.104697813,-1.437981444,-2.019014518,-1.689872032,-0.977297218,-0.511988467,-0.609159981,-0.896263022
-2.038867231,-1.499808131,1.536726293,0.303823426,0.042896275,-1.479740424,-2.035573553,-1.561102989,-0.610948563,-0.332863732,-0.307441073,-1.002027099
-1.987151651,-1.499715467,1.333081047,0.48552987,-0.069464689,-1.486429705,-1.99695556,-1.539033267,-0.057796187,-0.632114824,-0.144265006,-1.068519496
-2.003079364,-1.432515962,0.84084325,0.115871077,0.060297429,-1.398129666,-1.953684318,-1.592945608,-0.698522594,-0.634155235,-0.154737,-1.326370144
-2.014054438,-1.312135443,1.59788499,0.629166424,0.826283058,-0.968593778,-1.799754411,-1.726293348,-0.040332657,-0.337117658,0.336045557,-0.613687533
-2.004503277,-1.099157251,1.44580063,0.698231621,0.99873656,-0.960756309,-1.827269707,-1.91722071,-0.337146433,0.214156213,0.401926959,-0.653043291
-1.94411082,-0.898915663,1.118967167,0.778315807,0.793005767,-1.242456927,-1.950750914,-1.93030479,-0.428170393,0.248850356,0.177525845,-0.762544023
-1.83760001,-0.833467657,0.731679196,0.266311036,0.378498294,-1.227425712,-1.841809652,-1.74432585,-0.474820912,0.019250869,0.031656928,-0.612181641
-1.893244704,-0.908875587,0.460845561,0.15820243,0.311252461,-1.156900136,-1.779789766,-1.791840699,-0.643803325,-0.121044886,-0.343171674,-0.335508356
-1.919268413,-0.779629457,0.847405008,0.43741362,0.958899238,-1.068693574,-1.768029034,-1.901746988,-0.31294126,-0.491915681,-0.187811748,-0.156551419
-1.828480289,-0.728479128,0.513883843,0.180286797,0.982526445,-1.079184867,-1.894816246,-2.059871262,-0.512084333,-0.102231198,0.099921842,-0.318221177
-1.821000715,-0.677247929,0.567008586,0.046588397,0.483384922,-0.911796521,-1.878595664,-1.973877589,-0.899429626,-0.00752693,0.33458192,-0.136750188
-1.883331528,-0.412100213,0.491875197,0.018205108,0.115286205,-1.06182403,-1.831655965,-1.849839129,-1.292557968,-0.217367338,0.415446628,-0.117820113
-1.881825028,-0.495681195,0.155658414,-0.334979367,-0.375262816,-1.326090324,-1.895013718,-1.929741582,-1.575795717,-0.539516681,0.451776284,0.25850314
-1.837704911,-0.520756118,0.148340404,-0.360419768,-0.535367754,-1.359496203,-1.93112886,-1.916763646,-1.479151905,-0.527486,0.349803396,0.401567763
-1.695855988,-0.179965194,0.470452297,-0.022571743,-0.412389944,-1.159775272,-1.789415249,-1.698154484,-1.211291979,-0.290841061,0.224762891,-0.188053117
-1.585124303,-0.254408163,0.491583623,0.176438507,-0.341948981,-1.297542612,-1.806667166,-1.712360704,-1.208694948,-0.216908424,-0.212175111,-0.576931554
-1.594983708,-0.449794706,1.361344601,0.933179344,0.147629584,-1.267694991,-1.814803603,-1.645662885,-0.873423852,-0.158755282,-0.565284208,-0.459193858
-1.7611526,-0.661577396,1.920480921,1.670916193,0.905235017,-1.04200013,-1.751303591,-1.700599319,-0.470423799,-0.135471732,-0.256698721,-0.144721024
-1.730269927,-0.428146299,1.516660568,1.020486891,0.271607122,-1.316600917,-1.783786365,-1.629963987,-0.61790657,-0.378097438,0.078480913,-0.248634254
-1.827936527,0.041393483,1.572799358,1.077906016,0.004306589,-1.429882368,-1.96960303,-1.903101978,-0.692962839,-0.406716372,0.335090794,-0.401666205
-1.79975158,0.302871452,1.491782007,0.873001215,-0.053005572,-1.570738144,-2.121579934,-2.071334591,-0.593370008,-0.402963306,0.4297181,-0.359964214
-1.65209123,0.211883986,1.182994156,0.691822317,0.119142899,-1.523656511,-2.023058662,-1.833959976,-0.609128223,-0.248958781,0.383425484,-0.083202441
-1.573879342,0.415004692,1.401000347,0.781116412,0.305209597,-1.488803681,-2.014298023,-1.871201003,-0.693462147,-0.114161125,0.55611455,-0.167901345
-1.467768963,0.454942378,1.65996757,1.075190274,0.477423234,-1.414137546,-1.986118,-1.854711116,-0.490323318,-0.039953819,0.340437422,-0.279609326
-1.498436756,0.457530031,1.214075772,0.640673144,0.402774727,-1.602275079,-2.119282458,-1.956062324,-0.357277884,-0.075927079,0.371137349,-0.678346789
-1.597096377,-0.140601638,1.207744838,0.500928587,0.494350544,-1.711480042,-2.157576177,-1.97482114,-0.438124895,-0.283273414,0.23538383,-0.734230644
-1.289584652,-0.1523191,1.58134676,0.871862938,0.833886488,-1.632318655,-2.072228101,-1.868466444,-0.973843628,-0.311463003,0.230462785,-0.76613798
-1.770609495,-0.928849467,0.540987221,0.354167355,0.378151413,-1.101266134,-1.758220562,-1.651466446,-0.55188638,-0.074742813,-0.150611371,-0.661904223
-1.859532228,-1.100655815,0.374345541,-0.071789517,0.023711725,-1.231103433,-1.720961043,-1.6753865,-0.975807231,-0.682520591,-0.495834163,-0.089542028
-1.906706928,-1.128056822,0.446607031,0.054541846,-0.023987475,-1.307935577,-1.757761775,-1.765390385,-0.901461684,-0.95652571,-0.588195514,0.09681813
-1.832539297,-1.190188554,0.832708685,0.669540588,0.44270096,-1.042685371,-1.708786179,-1.754591898,-0.665130098,-0.478564657,-0.091622796,-0.162861947
-1.791330794,-1.505728967,1.045987924,0.668398746,0.542268137,-0.904197852,-1.681493061,-1.717529914,-0.337409984,-0.145947677,-0.137215278,-0.239270813
-1.654301966,-0.816401168,0.791699255,0.379367181,0.294515771,-1.030872415,-1.683764285,-1.710717456,-0.355075872,-0.327167956,-0.498700271,-0.146612098
