intercept,village_dist,tourism_dist,river_dist,woodycover,nitrogen_dist,runoff,fire_freq,slope,sodium_dist,water_dist
1,30301.59938,0.61834987,301.1574815,1.451131378,11204.68438,14.36309,1,0.026413009,10482.01213,8246.210938
1,29388.26624,0.60462732,1022.408378,1.199779736,11307.43604,10.69768,1.277777778,0.068053439,11348.09355,8602.325195
1,28433.50391,0.6014591,1023.028484,1.246274556,11294.41333,11.93791,1.368421053,0.066102624,12144.33473,7810.249512
1,27374.6551,0.72470093,978.632314,1.51555713,10961.25234,10.22223,1.571428571,0.062294833,12776.45,8944.271484
1,26581.8344,0.52829568,721.5308533,1.782483354,10627.20996,14.59458,1.8,0.074157875,13315.78402,7000
1,25682.59974,0.54136626,780.6454346,1.628234015,10364.46354,12.768835,1.166666667,0.096313275,14097.02738,7035.533936
1,24639.57188,0.52958648,882.9547272,1.777348613,10067.27676,10.94309,0.368421053,0.087600555,14775.65253,7071.067871
1,23801.13385,0.60066547,1501.625057,2.226275935,9504.411133,10.96463,2.368421053,0.049788356,14158.22172,6324.555176
1,23074.56763,0.5807736,2307.798047,1.327889047,8970.391357,9.955595,4,0.080699325,13126.53038,6708.204102
1,22412.92566,0.59352733,3036.701355,1.948427637,8556.803711,11.33421,4.157894737,0.03829018,12193.69649,6403.124023
1,21847.28086,0.58036504,3864.688548,0.841446011,7854.138306,10.88155,5.95,0.039469242,11143.49816,7071.067871
1,21112.91498,0.66879822,4009.66786,0.544530891,7439.181315,12.17301667,4.9,0.028021045,10281.49985,7094.813802
1,20211.09995,0.64943641,3720.734777,0.435257519,7735.973267,12.7549,6.166666667,0.01272284,9337.824688,7071.067871
1,19321.63177,0.55194617,3607.800407,0.357216836,7980.444824,13.0873,9.05,0.005904155,8573.555645,6708.204102
1,18483.98145,0.57374007,3857.24012,0.401550742,8166.242065,12.67135,8.35,0.008405348,7677.988845,5930.234497
1,17870.66089,0.56944029,4056.314957,0.334818973,8222.036865,11.07348,8.210526316,0.019399427,6778.290176,5099.019531
1,17131.01074,0.55736951,3634.021068,0.381010979,8222.036865,11.9173,6.842105263,0.036605958,6033.575515,4123.105469
1,16239.96855,0.5109353,3397.160095,1.109017217,8491.181641,12.06551,5.157894737,0.039890734,5534.003606,3571.345764
1,15540.52544,0.61405452,2838.494034,2.058783773,8369.990885,11.55837,3.666666667,0.038076263,4771.497518,3000
1,15019.29368,0.51922486,2200.249577,2.585666605,8045.260254,12.97285,4.315789474,0.047934834,4059.325498,1000
1,14335.12512,0.56971301,1431.336456,3.399543879,8135.569092,12.75747,4.55,0.029669993,3879.0771,1000
1,13713.6707,0.56192438,740.4594994,4.542991968,8133.264453,12.15219,3.428571429,0.014993225,3784.669235,1000
1,12968.69499,0.610172,346.4104072,4.720227973,8230.04873,16.55184,3.736842105,0.012148136,4156.234971,0
1,12273.94244,0.8534973,286.4023531,4.972049698,8710.0271,11.60528,3.5,0.01045646,4800.709322,0
1,11542.09518,1.00979861,293.9462357,4.49184576,8956.493164,12.86484,3.210526316,0.011954633,5470.694727,0
1,11405.19859,1.20331251,801.3604222,2.138224658,9083.134521,10.99391,1.421052632,0.017298224,5846.889551,1000
1,12111.24902,0.73730974,1220.079751,3.649073472,8422.812012,13.17596,3.75,0.013907295,5433.412579,1500
1,12695.3082,0.60166994,1240.599569,1.921409595,7949.059448,14.62009,5.8,0.010222678,5416.867338,1000
1,13633.46893,0.56728882,1489.191392,2.055411806,7078.131836,14.62009,4.684210526,0.005614909,5157.363438,1000
