V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
10,10,12.5,6.5,7.5,6.5,6,6.5,6.5,6,8.5,28.5
11.5,11.5,11,2.5,3,2,2.5,2,2,2,4,11.5
3.5,3.5,10,3,3.5,3,2.5,3,2,3,4.5,13
3.5,3.5,12.5,4,5,3.5,3,4,2.5,2.5,3.5,18.5
6,6,10.5,3.5,3.5,3.5,3,4,3,3,4.5,26
2.5,2.5,17,3,3,2,2,2,2,2,3.5,22
3.5,3.5,13.5,6,8,6.5,5.5,7,6.5,6.5,8,24
9.5,9.5,11,5.5,5.5,4.5,3,4.5,4,4,6,13
7,7,12,11,11.5,9.5,8.5,9.5,9,9,11,19
5.5,5.5,15.5,10,11,9,8,9.5,9,8.5,10.5,14.5
9,9,11,6.5,7.5,6,5.5,6,5,5.5,7,13.5
3.5,3.5,9,6,7,5.5,4.5,5.5,4.5,4.5,6.5,11
3,3,11,10,8.5,7,6,7,6.5,5.5,7,13.5
9,9,17,4,4,3,2.5,3.5,3,3,4.5,11.5
10.5,10.5,12,4,3,2.5,2.5,2.5,2,2.5,4,13
5,5,10.5,7,6.5,5.5,5,6,5,5.5,7.5,10
5.5,5.5,22.5,8,7,5.5,4.5,5.5,5,4.5,5.5,10.5
7.5,7.5,11.5,6.5,5.5,5,4,5,4,4,5.5,11
8.5,8.5,10,10.5,9.5,9,8,9,8,8.5,10,9
14,14,9.5,5,4,3,2.5,3,2.5,3,3.5,9.5
6.5,6.5,9.5,4,3.5,3,2.5,3,2.5,3,4.5,7.5
6.5,6.5,7,3,2,2,2,2,2,2,3,9.5
8.5,8.5,7.5,9.5,8,7,6,8,7,6.5,8.5,3.5
5,5,5.5,9,8,7,6.5,7,6,6,7,9.5
5,5,6.5,6.5,6.5,5.5,5,6,6,5.5,7.5,9.5
3,3,6.5,5.5,5,4.5,4,158.5,4.5,3,5,12.5
3.5,3.5,7.5,9,8.5,7,6.5,7,6,5.5,7.5,4
5,5,4.5,8.5,7.5,5.5,4.5,5.5,5.5,5.5,7.5,6.5
14,14,10,6,5.5,4,3.5,4,3.5,4.5,6,11
7.5,7.5,8.5,15,14,12,10.5,12,11,10,12.5,9.5
2.5,2.5,10,11,10,9,8,9,9.5,8.5,10.5,6
4.5,4.5,7,8,7,5.5,4.5,5.5,4.5,4.5,6.5,7.5
8,8,8,6.5,2.5,2,2,2,2,3,4.5,5
5.5,5.5,4.5,8.5,7,5.5,5,6.5,6,8,10,6
2.5,2.5,4.5,5,4,3.5,3,3.5,3,3.5,5.5,6
4,4,6,8,6.5,5.5,5,5.5,5,4.5,6.5,6
6.5,6.5,6,10,8.5,7,6,7,6.5,7,9,6.5
4.5,4.5,7,11,10,8,7.5,8,7.5,8,9.5,12.5
4.5,4.5,5.5,12,9.5,7.5,6.5,7.5,7,7.5,9.5,9.5
7,7,8.5,8,6.5,5,4.5,5,4.5,5,6.5,7
5.5,5,8,7,5,4,3,4,3,3.5,3.5,5
4.5,3.5,5.5,7.5,5.5,4,3,6.5,6,5.5,7.5,8.5
10,9.5,5,5,3,2,2,2.5,2.5,2,3,5.5
8.5,8,6.5,4.5,3.5,2.5,2,2.5,2.5,2.5,3,11.5
5.5,5,7.5,6,4.5,3,2.5,2.5,2,2,2.5,5.5
5.5,5,9,4.5,3,2,2,11,10,9.5,11.5,5.5
8.5,8,8.5,4,3,2,2,5.5,4.5,4,5.5,7.5
2.5,2,6.5,5.5,3.5,2.5,2,2.5,2.5,2.5,3.5,6
3,2.5,8,3,2,1.5,1.5,3,2.5,2.5,3.5,7.5
6,6,6,4.5,3.5,2,2,5,4,4,5,9.5
7.5,7.5,9,4,3,2,2,9.5,8.5,8,9.5,7.5
5.5,4.5,5.5,5,3.5,2.5,2.5,8.5,7.5,6.5,8.5,7.5
10,9.5,9.5,3.5,2,2,2,3,2.5,2.5,3.5,2.5
4,3.5,5,5,3,2,2,6.5,6,5.5,7,3.5
3,2.5,4,8.5,6.5,5,4,3.5,3,2.5,3.5,4.5
2.5,2.5,3.5,3,2.5,2,2,2.5,2.5,2.5,2.5,6.5
7.5,7,10.5,2.5,1.5,1.5,1.5,3.5,2.5,2.5,4,8.5
