jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,poly.id
2.477685285,3.580661592,4.779358492,4.961543694,5.164823592,3.280556612,2.552580667,2.73791078,4.324181822,4.202012905,3.664637753,3.466918834,1
2.606840529,3.504450142,5.516169214,5.521248182,5.741484844,3.40694571,2.616549042,2.841534854,4.604437623,4.44899464,3.917287148,3.916828481,2
2.545121025,3.182849659,5.455921168,5.435653508,5.800842868,3.383566577,2.520377596,2.746449859,4.073875282,4.438347979,3.990187513,4.077129867,3
2.436301027,2.687709118,4.749023161,4.635873377,5.401554401,3.127617343,2.389707942,2.638339244,3.7225339,4.077974555,3.654229509,4.036052444,4
2.405875175,2.643582208,4.629072088,4.517219722,5.240378314,3.082325804,2.481984483,2.747555931,4.364187056,4.146333694,3.751299613,3.965233112,5
2.51462814,2.698708375,4.651791241,4.479299691,5.515650751,3.289462823,2.520838737,3.097812284,4.7420995,4.269643774,4.117676831,4.316743847,6
2.561932852,2.874677937,4.277021472,4.377419312,5.957543125,3.319505888,2.454754202,3.26532041,5.258442844,3.956081635,4.398189614,4.31397519,7
2.774912563,3.362069169,4.982887571,4.780421865,6.156937021,3.600261939,2.61043241,3.139912722,5.429721683,5.66527738,4.796055681,4.610371101,8
2.741970371,3.806767724,5.076086989,4.793282678,5.778984225,3.217806941,2.431210493,2.985665569,5.483976458,5.923158765,5.039795029,4.676426689,9
2.889990895,3.988592873,5.292802547,4.958360851,5.542106395,3.407077584,2.594630016,2.998095201,5.456307497,5.774644381,5.029688537,4.556800926,10
2.811924367,3.636774254,4.967982024,4.385967565,5.123369162,3.14316136,2.448101897,2.837348258,4.70970188,5.609520435,4.715039002,4.425044032,11
2.889904443,3.185969052,4.973096787,4.379174996,5.397851232,3.249495634,2.61358881,2.888600298,4.156444391,5.242207919,4.494343255,4.455856187,12
2.730618464,3.045375943,4.859740514,4.417686101,5.127092709,3.289372579,2.629247003,2.971599725,3.979452011,4.692902866,4.404871202,4.610615539,13
2.853529125,3.253618014,4.832755284,4.292480928,5.026125214,3.345527899,2.637277961,2.973876829,4.099583317,4.598347872,4.609615052,4.614157046,14
2.977313612,3.397260321,5.404955621,4.790926168,5.389815,3.437585934,2.764353965,3.015491466,4.323502354,4.872920447,4.99627705,4.918596873,15
2.975725524,3.283955975,5.201860868,4.665178816,5.337352746,3.323746494,2.73214315,2.934208196,4.314117536,4.717792531,4.800148328,4.741933396,16
3.186829314,3.357868456,5.421471212,4.876324667,5.473188013,3.462811497,2.762626052,2.894022914,4.404031942,4.814275642,4.994059053,4.985080327,17
3.390285297,3.672763404,5.415184435,4.843801576,5.469216751,3.556815182,2.766877723,2.783014558,4.222722282,4.999216267,4.937731194,5.131671923,18
3.917300884,3.979197803,5.293493916,4.905479804,5.250318102,3.667250633,2.83702765,2.720772369,4.171619396,5.212295131,5.372173052,5.616263129,19
4.108705667,4.121048469,5.050943717,4.726189287,4.873787019,3.543915763,2.9134492,2.722280118,4.133049957,5.237787554,5.322085437,5.531988604,20
4.364441879,4.319404701,5.478114194,5.073330614,4.875025254,3.519524363,2.90455536,2.82624419,4.351583829,5.498220354,5.686970029,5.833242946,21
4.420449585,4.462200152,6.052712191,5.680920312,5.32323042,3.667045101,3.072234781,3.033226893,4.689669002,5.582214054,6.003746171,6.223197137,22
4.70259824,4.834333314,6.616897903,6.376026445,5.978893686,4.233243498,3.236303051,3.435574984,5.343166462,6.156694518,6.768144992,6.590703853,23
4.493290862,4.698595023,6.735445416,6.331335193,5.874757808,3.932030942,3.288088846,3.315898447,5.322649004,6.058265901,6.749865288,6.136360025,24
4.882998671,5.141640327,7.554772184,6.739626866,6.184937146,4.262108982,3.504454512,3.543572762,5.671493085,6.494171199,6.871032263,6.146250726,25
4.292923839,4.66705557,7.514419181,6.490549823,5.565598994,3.183657332,2.7174765,3.003693825,4.826147373,5.760533465,6.358373695,5.502112183,26
4.077354598,4.618569327,7.252382192,6.280409976,5.811935389,3.324781041,2.813451227,3.110540642,4.809020684,5.442438041,5.980253935,5.593900831,27
3.810127565,4.568733824,6.940060656,6.144395377,6.05194863,3.216137568,2.709858543,2.862065645,4.399230177,5.073247263,5.914721407,5.902321105,28
3.515244741,4.220634676,5.965423104,5.093612274,5.891733676,3.06830861,2.531987813,2.867718389,4.122905232,4.868505994,5.010550148,5.60016316,29
3.368869625,4.221732171,6.331835185,5.41390451,6.419830005,3.403846728,2.632096604,3.342506103,3.877757486,4.620248666,4.591543728,5.74053288,30
3.60201704,4.70269793,6.791694774,6.072630004,6.887447629,3.959206064,2.981230184,3.556147093,3.887499856,4.63553855,4.948122796,6.039732191,31
3.578619647,4.417762603,6.303736379,5.611299992,6.486990082,3.565041428,2.819648755,3.652744123,4.151215872,4.831871362,4.864641403,5.586399044,32
3.561445974,4.069158882,7.23252947,7.019673255,6.881553017,3.869715755,2.92213575,3.276848466,3.853599578,4.182180388,4.937690741,5.990732128,33
