Month,Transect,Animal.sp,Total,Sight_Distance,Odo.km,poly.id
1,SeroneraMusabi,7,9,80,0.7,1
1,SeroneraMusabi,18,2,10,1.3,2
1,SeroneraMusabi,7,20,40,2,3
1,SeroneraMusabi,9,1,40,2.2,3
1,SeroneraMusabi,10,6,60,2.4,3
1,SeroneraMusabi,10,14,50,4.2,5
1,SeroneraMusabi,7,3,60,6.5,7
1,SeroneraMusabi,2,4,80,8.2,9
1,SeroneraMusabi,1,1,20,8.2,9
1,SeroneraMusabi,7,2,15,9.6,10
1,SeroneraMusabi,9,3,60,11.9,12
1,SeroneraMusabi,2,3,40,12.3,13
1,SeroneraMusabi,3,30,70,12.3,13
1,SeroneraMusabi,3,6,50,13.1,14
1,SeroneraMusabi,1,180,70,13.7,14
1,SeroneraMusabi,7,46,60,13.7,14
1,SeroneraMusabi,3,36,60,13.7,14
1,SeroneraMusabi,1,650,110,14.4,15
1,SeroneraMusabi,4,1,50,14.4,15
1,SeroneraMusabi,9,12,60,14.4,15
1,SeroneraMusabi,9,2,70,16,17
1,SeroneraMusabi,10,6,80,16,17
1,SeroneraMusabi,9,1,80,16.8,17
1,SeroneraMusabi,10,42,100,17.5,18
1,SeroneraMusabi,5,2,100,19.5,20
1,SeroneraMusabi,9,2,20,21.6,22
1,SeroneraMusabi,2,22,60,23.4,24
1,SeroneraMusabi,5,8,80,23.4,24
1,SeroneraMusabi,7,7,40,23.4,24
1,SeroneraMusabi,2,14,60,23.9,24
1,SeroneraMusabi,9,2,60,23.9,24
1,SeroneraMusabi,10,2,40,24.2,25
1,SeroneraMusabi,7,19,5,24.8,25
1,SeroneraMusabi,9,5,10,25.4,26
1,SeroneraMusabi,7,5,20,25.6,26
1,SeroneraMusabi,9,4,50,27.4,28
1,SeroneraMusabi,2,16,70,27.4,28
1,SeroneraMusabi,5,1,60,29.6,30
1,SeroneraMusabi,2,18,70,30.1,31
1,SeroneraMusabi,5,2,80,30.3,31
1,SeroneraMusabi,10,13,90,32.3,33
1,SeroneraMusabi,9,4,100,33.5,34
1,SeroneraMusabi,5,16,100,33.5,34
1,SeroneraMusabi,10,17,120,33.5,34
1,SeroneraMusabi,7,6,30,33.9,34
1,SeroneraMusabi,9,2,20,33.9,34
1,SeroneraMusabi,7,33,10,35.2,36
1,SeroneraMusabi,7,3,5,36.7,37
1,SeroneraMusabi,7,1,50,38.2,39
1,SeroneraMusabi,9,3,90,39,40
1,SeroneraMusabi,10,5,70,39.7,40
2,SeroneraMusabi,7,1,70,0.3,1
2,SeroneraMusabi,7,29,30,1.6,2
2,SeroneraMusabi,1,46,100,1.6,2
2,SeroneraMusabi,7,1,60,2.3,3
2,SeroneraMusabi,9,1,60,4,5
2,SeroneraMusabi,2,14,70,5.1,6
2,SeroneraMusabi,10,8,130,8.1,9
2,SeroneraMusabi,1,240,90,8.1,9
2,SeroneraMusabi,5,3,120,12,13
2,SeroneraMusabi,7,1,40,13.1,14
2,SeroneraMusabi,3,1,50,13.1,14
2,SeroneraMusabi,3,1,60,14,15
2,SeroneraMusabi,5,1,60,14.5,15
2,SeroneraMusabi,7,8,100,16.1,17
2,SeroneraMusabi,2,1,20,16.8,17
2,SeroneraMusabi,10,7,90,16.8,17
2,SeroneraMusabi,7,38,80,17.2,18
2,SeroneraMusabi,10,3,60,17.6,18
2,SeroneraMusabi,7,7,50,18.6,19
2,SeroneraMusabi,12,12,50,19.1,20
2,SeroneraMusabi,7,3,40,19.4,20
2,SeroneraMusabi,2,13,50,20.7,21
2,SeroneraMusabi,2,6,60,22,23
2,SeroneraMusabi,7,24,40,22.2,23
2,SeroneraMusabi,7,60,40,23.5,24
2,SeroneraMusabi,7,5,30,23.7,24
2,SeroneraMusabi,10,2,20,24.3,25
2,SeroneraMusabi,2,7,60,25.2,26
2,SeroneraMusabi,7,36,50,25.5,26
2,SeroneraMusabi,2,16,80,25.6,26
2,SeroneraMusabi,8,4,10,27,28
2,SeroneraMusabi,5,5,40,28.8,29
2,SeroneraMusabi,5,12,80,29.5,30
2,SeroneraMusabi,10,42,100,29.7,30
2,SeroneraMusabi,11,6,60,29.7,30
2,SeroneraMusabi,10,9,80,32.3,33
2,SeroneraMusabi,2,8,60,32.3,33
2,SeroneraMusabi,2,7,30,33.4,34
2,SeroneraMusabi,7,6,60,35.1,36
2,SeroneraMusabi,7,26,80,35.8,36
2,SeroneraMusabi,11,1,20,38.2,39
2,SeroneraMusabi,7,2,40,38.3,39
2,SeroneraMusabi,5,7,120,38.7,39
2,SeroneraMusabi,2,14,110,38.7,39
2,SeroneraMusabi,10,7,40,38.9,39
2,SeroneraMusabi,9,3,40,38.9,39
2,SeroneraMusabi,10,2,70,39.5,40
3,SeroneraMusabi,7,1,40,0,1
3,SeroneraMusabi,2,1,70,0.9,1
3,SeroneraMusabi,18,2,15,1.4,2
3,SeroneraMusabi,6,1,40,2.6,3
3,SeroneraMusabi,7,3,40,2.6,3
3,SeroneraMusabi,11,2,100,3.7,4
3,SeroneraMusabi,7,2,30,4,5
3,SeroneraMusabi,18,2,10,4.3,5
3,SeroneraMusabi,7,1,20,4.3,5
3,SeroneraMusabi,7,7,10,4.6,5
3,SeroneraMusabi,7,2,25,5.2,6
3,SeroneraMusabi,9,2,20,6.4,7
3,SeroneraMusabi,7,3,40,7.1,8
3,SeroneraMusabi,7,12,120,8.7,9
3,SeroneraMusabi,10,26,60,10.7,11
3,SeroneraMusabi,9,4,50,11.7,12
3,SeroneraMusabi,5,11,100,12,13
3,SeroneraMusabi,9,1,60,12.1,13
3,SeroneraMusabi,10,2,60,12.8,13
3,SeroneraMusabi,11,4,90,13.1,14
3,SeroneraMusabi,2,30,20,13.3,14
3,SeroneraMusabi,6,1,60,14.3,15
3,SeroneraMusabi,5,1,60,14.3,15
3,SeroneraMusabi,2,0,70,14.3,15
3,SeroneraMusabi,10,0,150,14.6,15
3,SeroneraMusabi,9,0,30,15.3,16
3,SeroneraMusabi,11,0,30,16.3,17
3,SeroneraMusabi,6,9,70,16.3,17
3,SeroneraMusabi,2,12,70,16.3,17
3,SeroneraMusabi,10,23,50,16.8,17
3,SeroneraMusabi,10,3,60,18,19
3,SeroneraMusabi,18,2,10,20.7,21
3,SeroneraMusabi,7,1,50,23.6,24
3,SeroneraMusabi,9,1,30,28.3,29
3,SeroneraMusabi,7,22,130,28.7,29
3,SeroneraMusabi,5,1,20,29.4,30
3,SeroneraMusabi,5,1,30,31.7,32
3,SeroneraMusabi,11,2,20,34,35
3,SeroneraMusabi,11,4,30,36.1,37
3,SeroneraMusabi,5,1,90,36.3,37
3,SeroneraMusabi,9,2,40,36.3,37
3,SeroneraMusabi,7,23,60,36.6,37
3,SeroneraMusabi,7,18,40,36.7,37
3,SeroneraMusabi,7,9,20,38.3,39
3,SeroneraMusabi,11,14,20,38.8,39
3,SeroneraMusabi,8,8,60,39,40
3,SeroneraMusabi,7,9,70,39,40
3,SeroneraMusabi,10,4,60,39.2,40
3,SeroneraMusabi,7,7,25,39.7,40
3,SeroneraMusabi,10,3,90,39.9,40
4,SeroneraMusabi,7,46,150,0.1,1
4,SeroneraMusabi,18,2,10,1,2
4,SeroneraMusabi,11,1,20,2.4,3
4,SeroneraMusabi,7,52,80,3.8,4
4,SeroneraMusabi,7,3,15,4.1,5
4,SeroneraMusabi,18,3,20,4.4,5
4,SeroneraMusabi,7,38,30,6,7
4,SeroneraMusabi,7,2,40,7.2,8
4,SeroneraMusabi,18,2,15,7.4,8
4,SeroneraMusabi,10,16,120,10.7,11
4,SeroneraMusabi,2,120,160,11,12
4,SeroneraMusabi,10,5,40,11.6,12
4,SeroneraMusabi,9,4,60,11.6,12
4,SeroneraMusabi,9,6,80,12,13
4,SeroneraMusabi,2,60,100,12.2,13
4,SeroneraMusabi,13,6,70,12.2,13
4,SeroneraMusabi,5,8,100,12.2,13
4,SeroneraMusabi,10,12,100,12.2,13
4,SeroneraMusabi,5,5,90,12.4,13
4,SeroneraMusabi,5,8,70,12.7,13
4,SeroneraMusabi,9,2,40,12.9,13
4,SeroneraMusabi,9,2,80,13.9,14
4,SeroneraMusabi,2,22,80,13.9,14
4,SeroneraMusabi,6,14,80,13.9,14
4,SeroneraMusabi,9,3,50,14.4,15
4,SeroneraMusabi,10,31,60,15,16
4,SeroneraMusabi,2,12,60,15,16
4,SeroneraMusabi,7,69,25,18.9,19
4,SeroneraMusabi,7,1,50,19.4,20
4,SeroneraMusabi,18,2,10,20,21
4,SeroneraMusabi,18,2,20,20.7,21
4,SeroneraMusabi,9,1,0,21.6,22
4,SeroneraMusabi,9,2,0,23.7,24
4,SeroneraMusabi,8,4,60,27.1,28
4,SeroneraMusabi,11,9,100,27.1,28
4,SeroneraMusabi,5,1,5,28.5,29
4,SeroneraMusabi,10,3,70,29.5,30
4,SeroneraMusabi,11,1,20,31.6,32
4,SeroneraMusabi,10,4,20,32,33
4,SeroneraMusabi,5,6,80,33.3,34
4,SeroneraMusabi,7,12,15,35.6,36
4,SeroneraMusabi,7,1,5,36.2,37
4,SeroneraMusabi,5,80,100,39.6,40
4,SeroneraMusabi,7,39,50,39.7,40
5,SeroneraMusabi,12,32,20,0.2,1
5,SeroneraMusabi,7,1,30,0.5,1
5,SeroneraMusabi,12,15,30,0.7,1
5,SeroneraMusabi,18,2,10,1.8,2
5,SeroneraMusabi,9,1,40,2.3,3
5,SeroneraMusabi,7,5,20,3.4,4
5,SeroneraMusabi,7,57,40,3.7,4
5,SeroneraMusabi,7,1,60,4.5,5
5,SeroneraMusabi,12,6,120,5,6
5,SeroneraMusabi,12,18,50,5.2,6
5,SeroneraMusabi,7,7,10,5.5,6
5,SeroneraMusabi,12,14,50,6.8,7
5,SeroneraMusabi,12,12,60,7.8,8
5,SeroneraMusabi,2,160,60,8.6,9
5,SeroneraMusabi,11,4,60,8.6,9
5,SeroneraMusabi,10,9,60,8.6,9
5,SeroneraMusabi,6,14,60,8.6,9
5,SeroneraMusabi,7,23,40,9.2,10
5,SeroneraMusabi,6,8,100,9.2,10
5,SeroneraMusabi,10,3,120,11.7,12
5,SeroneraMusabi,9,8,120,11.7,12
5,SeroneraMusabi,2,22,120,11.7,12
5,SeroneraMusabi,1,9,120,11.7,12
5,SeroneraMusabi,6,2,110,11.7,12
5,SeroneraMusabi,5,17,90,12.6,13
5,SeroneraMusabi,1,120,100,13,14
5,SeroneraMusabi,2,80,100,13,14
5,SeroneraMusabi,2,8,50,13.8,14
5,SeroneraMusabi,9,2,70,14,15
5,SeroneraMusabi,2,28,80,14.8,15
5,SeroneraMusabi,1,2,80,15.2,16
5,SeroneraMusabi,2,30,80,15.2,16
5,SeroneraMusabi,11,10,40,15.2,16
5,SeroneraMusabi,10,14,80,16.4,17
5,SeroneraMusabi,2,26,80,16.4,17
5,SeroneraMusabi,11,3,80,16.4,17
5,SeroneraMusabi,9,7,60,16.5,17
5,SeroneraMusabi,2,9,40,18.2,19
5,SeroneraMusabi,9,3,40,18.2,19
5,SeroneraMusabi,5,12,60,18.6,19
5,SeroneraMusabi,9,1,30,23,24
5,SeroneraMusabi,18,2,40,25.6,26
5,SeroneraMusabi,2,46,70,28.1,29
5,SeroneraMusabi,11,4,40,28.1,29
5,SeroneraMusabi,7,3,80,37.1,38
5,SeroneraMusabi,10,2,60,38.8,39
6,SeroneraMusabi,11,2,60,0,1
6,SeroneraMusabi,3,8,40,0.1,1
6,SeroneraMusabi,2,14,80,0.6,1
6,SeroneraMusabi,18,1,20,1.3,2
6,SeroneraMusabi,9,1,20,2,3
6,SeroneraMusabi,2,40,70,2.4,3
6,SeroneraMusabi,9,1,40,3.1,4
6,SeroneraMusabi,11,12,40,3.1,4
6,SeroneraMusabi,7,2,10,3.1,4
6,SeroneraMusabi,7,22,60,3.7,4
6,SeroneraMusabi,1,7,60,3.7,4
6,SeroneraMusabi,2,4,40,4.2,5
6,SeroneraMusabi,9,3,20,5.4,6
6,SeroneraMusabi,1,12,80,5.8,6
6,SeroneraMusabi,2,20,70,6.1,7
6,SeroneraMusabi,2,25,110,8.2,9
6,SeroneraMusabi,1,1,60,8.2,9
6,SeroneraMusabi,7,1,40,9.5,10
6,SeroneraMusabi,2,70,70,10.6,11
6,SeroneraMusabi,3,7,40,10.6,11
6,SeroneraMusabi,18,2,5,11.3,12
6,SeroneraMusabi,2,18,40,13.1,14
6,SeroneraMusabi,9,3,40,13.1,14
6,SeroneraMusabi,3,1,20,13.8,14
6,SeroneraMusabi,9,3,40,13.9,14
6,SeroneraMusabi,2,160,60,13.9,14
6,SeroneraMusabi,2,100,50,16,17
6,SeroneraMusabi,1,30,50,16,17
6,SeroneraMusabi,2,70,60,16.9,17
6,SeroneraMusabi,10,16,70,17.5,18
6,SeroneraMusabi,2,2,40,19.2,20
6,SeroneraMusabi,9,4,40,19.2,20
6,SeroneraMusabi,2,3,30,19.5,20
6,SeroneraMusabi,7,16,30,19.5,20
6,SeroneraMusabi,7,52,50,19.7,20
6,SeroneraMusabi,7,16,40,24.3,25
6,SeroneraMusabi,9,1,10,24.7,25
6,SeroneraMusabi,9,2,30,28.9,29
6,SeroneraMusabi,5,2,60,29.7,30
6,SeroneraMusabi,9,5,40,33.1,34
6,SeroneraMusabi,7,8,60,39.4,40
6,SeroneraMusabi,10,7,20,39.4,40
6,SeroneraMusabi,7,16,60,39.9,40
7,SeroneraMusabi,3,2,30,0.4,1
7,SeroneraMusabi,7,29,50,0.8,1
7,SeroneraMusabi,18,2,10,1.3,2
7,SeroneraMusabi,9,1,20,1.7,2
7,SeroneraMusabi,7,12,40,1.7,2
7,SeroneraMusabi,3,1,20,2.5,3
7,SeroneraMusabi,10,360,40,2.9,3
7,SeroneraMusabi,7,17,40,4.3,5
7,SeroneraMusabi,10,2,60,4.6,5
7,SeroneraMusabi,9,2,30,5.5,6
7,SeroneraMusabi,3,2,10,5.7,6
7,SeroneraMusabi,10,2,30,6,7
7,SeroneraMusabi,7,6,40,6,7
7,SeroneraMusabi,3,3,50,6,7
7,SeroneraMusabi,7,15,30,6,7
7,SeroneraMusabi,7,22,20,6.2,7
7,SeroneraMusabi,7,2,20,7,8
7,SeroneraMusabi,11,3,20,7.4,8
7,SeroneraMusabi,2,24,40,8.7,9
